Clip ID,Action,Position,Interactive object
1742301732322,"Clean the blackboard, On the podium",On the podium,Blackboard
1732614693101,"Control multimedia, On the podium",On the podium,Multimedia.
1736425979491,"Display teaching AIDS, Among students",Among students,Teaching AIDS.
1732685845758,"Give a lecture, On the podium",On the podium,Students.
1732685921593,"Interact with students, On the podium",On the podium,Student.
1742209364208,"Make a bow, On the podium",On the podium,Student.
1742203865672,"Multimedia teaching, On the podium",On the podium,Multimedia PPT.
1742213739695,"Patrol the classroom, On the podium, Among students","On the podium,Among students",Students.
1740818109778,"Point to the podium, Among students",Among students,Multimedia.
1734343393951,"Write on the blackboard, On the podium",On the podium,Blackboard.
